Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2022,Música,"Ajuntament de Barcelona",Festivals,20,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",4/11/2022,30/11/2022,512,,"Diversos espais de la ciutat","Centre Cívic Besòs. Ajuntament de Barcelona",
2022,Lletres,"Ajuntament de Barcelona",Festivals,2,"42. Festival de Gèneres Fantàstics de Barcelona",2/11/2022,6/11/2022,5000,,"Fabra i Coats Fàbrica de Creació","Institut de Cultura. Ajuntament de Barcelona",
2022,"Arts visuals","Titularitat privada",Festivals,13,"48H Open House BCN",22/10/2022,23/10/2022,66767,12796,"Diversos espais de la ciutat","Assoc. 48h Open House Barcelona",
2022,"Arts escèniques","Titularitat privada",Festivals,6,"Africa Moment",21/11/2022,24/12/2022,2500,500,"Diversos espais de la ciutat","Associació Africa Moment",
2022,Audiovisuals,"Titularitat privada",Festivals,8,"Americana Film Fest",15/3/2022,27/3/2022,7468,1500,"Diversos espais de la ciutat","Assoc. cultural per la difusió del cinema nord-americà",
2022,"Multidisciplinaris i altres","Titularitat privada",Festivals,16,ARQUINSET,10/11/2022,1/12/2022,60,,"Diversos espais de la ciutat",ARQ-INFAD,
2022,"Arts visuals","Titularitat privada",Festivals,9,"Art Photo BCN",1/9/2022,30/11/2022,8000,,"Diversos espais de la ciutat","Maria Isabel Lazaro Garcia",
2022,Lletres,"Titularitat privada",Fires,13,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",10/6/2022,12/6/2022,12000,,"Diversos espais de la ciutat","Raíña Lupa Produccions",
2022,Audiovisuals,"Titularitat privada",Festivals,10,"Asian Film Festival",26/10/2022,6/11/2022,7600,,"Diversos espais de la ciutat","Casa Àsia",
2022,Música,"Titularitat privada",Festivals,10,Bachcelona,1/1/2022,31/12/2022,2244,325,"Diversos espais de la ciutat","Fund. Bachcelona",
2022,Música,"Ajuntament de Barcelona",Festivals,30,"BAM. Barcelona Acció Musical",23/9/2022,26/9/2022,34500,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona","En el marc de les festes de La Mercè."
2022,"Arts visuals","Titularitat privada",Festivals,17,"Barcelona Design Week City Festival",2/6/2022,22/6/2022,,,"Disseny Hub Barcelona","Barcelona Centre de Disseny",
2022,"Arts visuals","Ajuntament de Barcelona",Festivals,12,"Barcelona Dibuixa",22/10/2022,23/10/2022,10635,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2022,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,12,"Barcelona Districte Cultural",6/10/2022,28/12/2022,19578,,"Xarxa de centres cívics","Institut de Cultura. Ajuntament de Barcelona",
2022,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,3,"Barcelona Festival de Nadal",17/12/2022,30/12/2022,300000,,"Pl. de Catalunya i pl. Universitat","Ajuntament de Barcelona",
2022,Música,"Titularitat privada",Festivals,18,"Barcelona Festival of Song",8/7/2022,17/7/2022,450,,"Diversos espais de la ciutat","Patricia Caicedo Serrano",
2022,"Arts visuals","Titularitat privada",Festivals,8,"Barcelona Gallery Weekend",15/9/2022,18/9/2022,13000,500,"Diversos espais de la ciutat","Art Barcelona Associació de galeries",
2022,Música,"Titularitat privada",Festivals,,"Barcelona Obertura Spring Festival",6/3/2022,30/3/2022,,,"Diversos espais de la ciutat","Ass. Barcelona Global",
2022,"Multidisciplinaris i altres","Altres administracions públiques",Festivals,9,"Barcelona Pensa",16/11/2022,17/11/2022,650,,"Diversos espais de la ciutat","Universitat de Barcelona",
2022,Lletres,"Ajuntament de Barcelona",Festivals,25,"Barcelona Poesia",11/5/2022,18/5/2022,6832,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2022,Música,"Titularitat privada",Festivals,27,BarnaSants,22/1/2022,20/5/2022,5566,15404,"Diversos espais de la ciutat","Assoc. República de la Cultura",
2022,Audiovisuals,"Titularitat privada",Festivals,2,"Barq, Festival Internacional de Cine de Barcelona",5/5/2022,10/5/2022,1126,,"Diversos espais de la ciutat","Nihao Films",
2022,"Multidisciplinaris i altres","Titularitat privada",Festivals,,"BAUM Festival",7/10/2022,9/10/2022,,,"Fira Barcelona Montjuïc","Urban Line Concept",
2022,Audiovisuals,"Ajuntament de Barcelona",Festivals,12,"BCN Sports Film",14/2/2022,20/2/2022,516,,"Diversos espais de la ciutat","Fund. Barcelona Olímpica",
2022,Lletres,"Ajuntament de Barcelona",Festivals,17,"BCNegra. Trobada de Novel·la Negra de Barcelona",3/2/2022,13/2/2022,6500,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
