Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2014,Música,"Ajuntament de Barcelona",Festivals,12,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",7/11/2014,28/11/2014,1156,,"Centre Cívic Besos","Centre Cívic Besòs",
2014,"Arts escèniques","Titularitat privada",Festivals,7,"12 hores de màgia al Brossa",28/9/2014,28/9/2014,357,,"La Seca Espai Brossa","La Seca Espai Brossa",
2014,"Arts visuals","Titularitat privada",Festivals,5,"48H Open House BCN",25/10/2014,26/10/2014,45500,,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2014,Música,Mixta,Festivals,4,"9B in Black. Festival de Música Negra de Nou Barris",12/6/2014,14/6/2014,350,,"Diversos espais de la ciutat","Casal de Barri Prosperitat, Casal de Joves Prosperitat i Ateneu Popular 9Barris",
2014,Música,"Titularitat privada",Festivals,2,"Aloud Music Festival",3/4/2014,5/4/2014,,,"La [2]","Assoc. AMF",
2014,Audiovisuals,"Titularitat privada",Festivals,1,"Americana Film Fest",13/2/2014,16/2/2014,4300,,"Diversos espais de la ciutat","Assoc. Cultural per la Difusió del Cinema Nord-Americà",
2014,"Arts visuals","Titularitat privada",Festivals,1,"Art Photo BCN",26/5/2014,1/6/2014,1800,,"Transforma BCN","Isabel Lazaro",
2014,Audiovisuals,"Titularitat privada",Festivals,25,ArtFutura,7/11/2014,9/11/2014,,,CCCB,ArtFutura,
2014,Lletres,"Titularitat privada",Fires,5,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",23/4/2014,27/4/2014,10500,,"Arts de Santa Mònica","Raíña Lupa Produccions",
2014,Música,"Titularitat privada",Festivals,2,Bachcelona,20/7/2014,24/7/2014,7500,,"Diversos espais de la ciutat","Fundació BZM",
2014,Música,"Titularitat privada",Festivals,1,"BalkaBarna Festival",10/5/2014,11/5/2014,700,,"Barcelona Culture World, Poble Nou","Asociación BalkaBarna, Dinamita Balkana y Balkan Party",
2014,Música,"Ajuntament de Barcelona",Festivals,22,"BAM. Barcelona Acció Musical",19/9/2014,23/9/2014,99179,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2014,"Arts escèniques","Titularitat privada",Festivals,4,"Barcelona Burlesque Festival",7/5/2014,17/5/2014,2000,,"El Molino","Ociopuro, SL",
2014,"Arts visuals","Titularitat privada",Festivals,9,"Barcelona Design Week City Festival",2/6/2014,14/6/2014,11000,,"Diversos espais de la ciutat","Barcelona Centre del Disseny",
2014,Música,"Titularitat privada",Festivals,10,"Barcelona Festival of Song",26/6/2014,5/7/2014,2100,,"Diversos espais de la ciutat","Patricia Caicedo",
2014,Lletres,"Ajuntament de Barcelona",Festivals,2,"Barcelona Novel·la Històrica",17/11/2014,22/11/2014,1256,,"Sala Moragues del Born Centre Cultural","Institut de Cultura. Ajuntament de Barcelona",
