Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2016,Lletres,"Titularitat privada",Fires,34,"Còmic Barcelona",5/5/2016,8/5/2016,118000,,"Fira de Barcelona Montjuic",Ficòmic,
2016,Música,"Titularitat privada",Festivals,5,Connexions,1/10/2016,30/10/2016,3200,,"Diversos espais de la ciutat","Taller de Músics",
2016,Audiovisuals,"Titularitat privada",Festivals,6,"D'A Film Festival Barcelona",21/4/2016,1/5/2016,10585,,"Diversos espais de la ciutat",Noucinemart,
2016,"Arts escèniques","Titularitat privada",Festivals,6,"Dansa Ara",20/10/2016,17/11/2016,582,,"La Pedrera","Fundació Catalunya - La Pedrera",
2016,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,5,"DAU Barcelona",26/11/2016,18/12/2016,19500,,"Fabra i Coats, Born i altres espais","Institut de Cultura. Ajuntament de Barcelona",
2016,Música,"Titularitat privada",Festivals,2,"DGTL Festival",12/8/2016,13/8/2016,30000,,"Parc del Fòrum","Grup Centris",
2016,Audiovisuals,"Titularitat privada",Festivals,13,"Diàspora. Mostra de Cinema Colombià",13/10/2016,23/10/2016,3476,,"Diversos espais de la ciutat","Imago Gestiona",
2016,Música,"Titularitat privada",Festivals,11,"Divendres Corals del Barcelonès",20/2/2016,18/3/2016,200,,"Sant Pau Recinte Modernista i ESMUC","Federació Catalana d'Entitats Corals",
2016,"Arts visuals","Titularitat privada",Festivals,4,"DOCfield. Festival de Fotografia Documental",19/5/2016,19/7/2016,141143,,"Diversos espais de la ciutat","Photographic Social Vision",
2016,Audiovisuals,"Titularitat privada",Festivals,19,DocsBarcelona,23/5/2016,29/5/2016,8368,,"Diversos espais de la ciutat","Paral·lel 40",
2016,"Arts visuals","Titularitat privada",Festivals,13,"Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya",16/12/2016,31/12/2016,10000,,"Diversos espais de la ciutat",Drap-Art,
2016,Música,"Titularitat privada",Festivals,19,"EH SONA! Festival de Música Basca a Barcelona",4/11/2016,26/11/2016,,,,"Centre Cultural Euskal Etxea Barcelona",
2016,"Multidisciplinaris i altres","Titularitat privada",Festivals,4,"El Dia Minimúsica",10/4/2016,10/4/2016,2800,,CCCB,"Minimúsica ",
2016,Audiovisuals,"Titularitat privada",Festivals,9,"El Meu Primer Festival",12/11/2016,27/11/2016,13000,,"Diversos espais de la ciutat","Assoc. Isla Elefante Projectes Culturals",
2016,Música,"Consorci o fundació amb presència administracions públiques",Festivals,8,Emergència!,13/2/2016,13/2/2016,1781,,CCCB,CCCB,
