Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2015,Música,"Ajuntament de Barcelona",Festivals,13,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",6/11/2015,27/11/2015,1176,,"Centre Cívic Besos","Centre Cívic Besòs",
2015,Música,"Titularitat privada",Festivals,4,"(Parèntesi) by AMFest",5/11/2015,7/11/2015,950,,"La (2) i Sidecar","Assoc. AMF",
2015,Música,"Altres administracions públiques",Festivals,2,#Ornitofest,13/2/2015,15/2/2015,600,,"Apolo (Sala 2)",MissAlabama,
2015,"Arts escèniques","Titularitat privada",Festivals,8,"12 hores de màgia al Brossa",11/10/2015,11/10/2015,347,,"La Seca Espai Brossa","La Seca Espai Brossa",
2015,"Arts visuals","Titularitat privada",Festivals,6,"48H Open House BCN",24/10/2015,25/10/2015,52433,,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2015,Música,Mixta,Festivals,4,"9B in Black. Festival de Música Negra de Nou Barris",20/2/2015,28/2/2015,300,,"Ateneu Popular de 9Barris i Casal de la Prosperitat","Casal de Barri Prosperitat, Casal de Joves Prosperitat i Ateneu Popular 9Barris",
2015,Música,"Titularitat privada",Festivals,3,"Aloud Music Festival",11/3/2015,14/3/2015,800,,"La (2) i Sidecar","Assoc. AMF",
2015,Audiovisuals,"Titularitat privada",Festivals,2,"Americana Film Fest",19/2/2015,22/2/2015,5050,,"Diversos espais de la ciutat","Assoc. Cultural per la Difusió del Cinema Nord-Americà",
2015,Audiovisuals,"Titularitat privada",Festivals,1,"Arqu [in] FILM",12/6/2015,18/6/2015,800,,"Filmoteca de Catalunya",ARQ-INFAD,
2015,"Arts visuals","Titularitat privada",Festivals,2,"Art Photo BCN",1/10/2015,4/10/2015,800,,"Hotel Chick&Basic ramblas","Isabel Lazaro",
2015,Lletres,"Titularitat privada",Fires,6,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",23/4/2015,26/4/2015,12000,,"Arts Santa Mònica  ","Raíña Lupa Produccions",
2015,Audiovisuals,"Titularitat privada",Festivals,1,"B-Anime Film Festival",9/10/2015,11/10/2015,5000,,"Plaça dels Àngels i Plaça Coromines","Mago Experience",
2015,Música,"Titularitat privada",Festivals,3,Bachcelona,23/7/2015,28/7/2015,8000,,"Diversos espais de la ciutat","Fundació BZM",
2015,Música,"Titularitat privada",Festivals,2,"BalkaBarna Festival",23/5/2015,24/5/2015,1000,,"Ateneu Popular de 9Barris ","Asociación BalkaBarna, Dinamita Balkana y Balkan Party",
2015,Música,"Ajuntament de Barcelona",Festivals,23,"BAM. Barcelona Acció Musical",18/9/2015,24/9/2015,76750,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2015,"Arts escèniques","Titularitat privada",Festivals,5,"Barcelona Burlesque Festival",3/6/2015,13/6/2015,1800,,"El Molino","Ociopuro, SL",
2015,"Arts visuals","Titularitat privada",Festivals,10,"Barcelona Design Week City Festival",8/6/2015,14/6/2015,11848,,"Diversos espais de la ciutat","Barcelona Centre del Disseny",
2015,"Arts visuals","Ajuntament de Barcelona",Festivals,6,"Barcelona Dibuixa",25/10/2015,25/10/2015,13000,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2015,Música,"Titularitat privada",Festivals,11,"Barcelona Festival of Song",25/6/2015,4/7/2015,1300,,"Diversos espais de la ciutat","Patricia Caicedo",
2015,Lletres,"Ajuntament de Barcelona",Festivals,3,"Barcelona Novel·la Històrica",3/11/2015,7/11/2015,1153,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2015,Lletres,"Ajuntament de Barcelona",Festivals,18,"Barcelona Poesia",12/5/2015,18/5/2015,4436,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2015,"Multidisciplinaris i altres","Titularitat privada",Festivals,3,"Barcelona Surf Festival ",30/6/2015,3/7/2015,1500,,"Museu Marítim","AGÈNCIA DIVE",
2015,Música,"Titularitat privada",Festivals,5,"Barcelona, Gardel, Buenos Aires",22/7/2015,29/7/2015,,,"Diversos espais de la ciutat","ZOOM IN SA - Rafael Veljanovich",
2015,Música,"Titularitat privada",Festivals,20,BarnaSants,24/1/2015,14/4/2015,7886,,"Diversos espais de la ciutat","Assoc. Promotora de la Fundació Autoria",
2015,"Arts escèniques","Titularitat privada",Festivals,,BarriBrossa,19/5/2015,24/5/2015,,,"La Seca Espai Brossa","La Seca Espai Brossa",
2015,Audiovisuals,"Ajuntament de Barcelona",Festivals,6,"BCN Sports Film",5/5/2015,9/5/2015,3200,,"Diversos espais de la ciutat","Fundació Barcelona Olímpica",
2015,Lletres,"Ajuntament de Barcelona",Festivals,10,"BCNegra. Trobada de Novel·la Negra de Barcelona",29/1/2015,7/2/2015,9984,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2015,"Multidisciplinaris i altres","Titularitat privada",Festivals,9,"Besmina. Festival d'Art Jove al Carrer",2/6/2015,11/6/2015,500,,"Diversos espais de la ciutat","Centre Cívic Besòs",
2015,Audiovisuals,"Consorci o fundació amb presència administracions públiques",Festivals,1,Bibliocurts,18/11/2015,4/12/2015,450,,"Biblioteca Sant Gervasi - Joan Maragall","Biblioteques de Barcelona",
2015,Música,"Titularitat privada",Festivals,3,"Bona Nit Barcelona",18/7/2015,18/7/2015,15000,,"Plaça de les Glories","Fundació Bona Nit Barcelona",
2015,"Multidisciplinaris i altres","Titularitat privada",Festivals,2,"Brunch Electronik",15/3/2015,7/6/2015,35000,,"Poble Espanyol","Piknic Electronik Barcelona",
2015,"Multidisciplinaris i altres","Titularitat privada",Festivals,3,"Brunch Electronik",11/10/2015,31/10/2015,10000,,"Poble Espanyol","Piknic Electronik Barcelona",
2015,Audiovisuals,"Titularitat privada",Festivals,3,"Choreoscope Barcelona Dance Film Festival",22/10/2015,24/10/2015,585,,"Cinema Maldà","Assoc. Choreoscope",
2015,Audiovisuals,"Titularitat privada",Festivals,4,"Cinema Lliure a la Platja. Mostra de cinema independent",9/7/2015,16/8/2015,20000,,"Platja de Sant Sebastià","Mago Audiovisual Production",
2015,Audiovisuals,"Titularitat privada",Festivals,2,CineMigrante,27/10/2015,1/11/2015,2000,,"Diversos espais de la ciutat","Colectiu Cine Migrante i Fundació Guné",
2015,"Arts escèniques","Ajuntament de Barcelona",Festivals,16,Circorts,2/10/2015,11/10/2015,,,"Plaça Concordia","Ajuntament de Barcelona",
2015,Música,"Titularitat privada",Festivals,22,"Ciutat Flamenco",21/5/2015,24/5/2015,2800,,"Mercat de les Flors","Taller de Músics",
2015,Lletres,"Titularitat privada",Fires,33,"Còmic Barcelona",16/4/2015,19/4/2015,113000,,"Fira de Barcelona",Ficòmic,
2015,Música,"Titularitat privada",Festivals,4,Connexions,2/10/2015,19/11/2015,3000,,"Diversos espais de la ciutat","Taller de Músics",
2015,Audiovisuals,"Titularitat privada",Festivals,5,"D'A Film Festival Barcelona",24/4/2015,3/5/2015,10617,,"Diversos espais de la ciutat",Noucinemart,
2015,"Arts escèniques","Titularitat privada",Festivals,7,"Dansa Ara",22/10/2015,19/11/2015,523,,"La Pedrera","Fundació Catalunya - La Pedrera",
2015,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,4,"DAU Barcelona",12/12/2015,13/12/2015,21600,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2015,"Multidisciplinaris i altres","Titularitat privada",Festivals,21,DeProp,6/3/2015,26/3/2015,720,,"La Pedrera","Fundació Catalunya - La Pedrera",
2015,Música,"Titularitat privada",Festivals,1,"DGTL Festival",14/8/2015,15/8/2015,20000,,"Parc del Fòrum","Grup Centris",
2015,Audiovisuals,"Titularitat privada",Festivals,12,"Diàspora. Mostra de Cinema Colombià",13/10/2015,25/10/2015,4318,,"Diversos espais de la ciutat","Imago Gestiona",
2015,Música,"Titularitat privada",Festivals,11,"Divendres Corals del Barcelonès",1/2/2015,31/3/2015,500,,"Capella de l'Esperança","Federació Catalana d'Entitats Corals",
2015,"Arts visuals","Titularitat privada",Festivals,3,"DOCfield. Festival de Fotografia Documental",19/5/2015,23/7/2015,,,"Diversos espais de la ciutat","Photographic Social Vision",
2015,Audiovisuals,"Titularitat privada",Festivals,18,DocsBarcelona,25/5/2015,31/5/2015,6357,,"Aribau Club, Aribau Multicines, CCCB i La Pedrera","Paral·lel 40",
2015,"Arts visuals","Titularitat privada",Festivals,12,"Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya",18/12/2015,31/12/2015,10000,,CCCB,Drap-Art,
2015,Música,"Titularitat privada",Festivals,18,"EH SONA! Festival de Música Basca a Barcelona",30/10/2015,28/11/2015,,,"Diversos espais de la ciutat","Centre Cultural Euskal Etxea Barcelona",
2015,"Multidisciplinaris i altres","Titularitat privada",Festivals,3,"El Dia Minimúsica",12/4/2015,12/4/2015,2500,,"Fabra i Coats","Minimúsica ",
