Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2020,Música,"Ajuntament de Barcelona",Festivals,18,"(In)fusión Flamenca. Cicle de Flamenc al Besòs",6/11/2020,10/12/2020,,,"Centre Cívic Besos i Online","Centre Cívic Besos","Presencial i en línia - Sense dades"
2020,Música,"Titularitat privada",Festivals,9,"(Parèntesi) by AMFest",4/12/2020,6/12/2020,1050,,"Castell de Montjuïc","Associació AMF",Presencial
2020,"Arts visuals","Titularitat privada",Festivals,11,"48H Open House BCN",15/10/2020,15/11/2020,40299,3920,"Diversos espais de la ciutat i Online","Associació 48h Open House Barcelona","A banda del públic presencial, van registrar-se 20.930 usuaris en línia"
2020,"Arts escèniques","Titularitat privada",Festivals,4,"Africa Moment",10/12/2020,20/12/2020,800,,"Diversos espais de la ciutat i Online","Associació Africa Moment","A banda del públic presencial, van registrar-se 500 usuaris en línia"
2020,Música,"Titularitat privada",Festivals,1,"AI & Music Festival i Sonar",18/9/2020,19/9/2020,,,"CCCB i Online","Advanced Music","Presencial i en línia"
2020,Audiovisuals,"Titularitat privada",Festivals,7,"Americana Film Fest",3/3/2020,8/3/2020,,,"Cinemes Girona, Zumzeig i Filmoteca de Catalunya","Associacio Cultural per la Difusió del Cinema Nord-Americà","Presencial - Sense dades"
2020,Audiovisuals,"Titularitat privada",Festivals,6,"Arqu [in] FILM",12/5/2020,15/5/2020,,,Online,ARQ-INFAD,"Va celebrar-se únicament en format virtual amb 1.900 usuaris"
2020,"Multidisciplinaris i altres","Titularitat privada",Festivals,14,ARQUINSET,19/10/2020,16/11/2020,,,Online,ARQ-INFAD,"Va celebrar-se únicament en format virtual amb 1.403 usuaris"
2020,"Arts visuals","Titularitat privada",Festivals,7,"Art Photo BCN",3/9/2020,31/12/2020,1900,,"Diversos espais de la ciutat i Online","Art Photo Bcn ","A banda del públic presencial, van registrar-se 6.000 usuaris en línia"
2020,Lletres,"Titularitat privada",Fires,11,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",23/7/2020,26/7/2020,,,Online,"Raíña Lupa | ArtsLibris","En línia - Sense dades"
2020,Audiovisuals,"Titularitat privada",Festivals,8,"Asian Film Festival",28/10/2020,8/12/2020,1348,,"Cinemes Girona i online","Casa Asia","A banda del públic presencial, van registrar-se 50.774 usuaris en línia"
2020,Música,"Titularitat privada",Festivals,8,Bachcelona,7/7/2020,16/7/2020,,,"Diversos espais de la ciutat","Fundació BZM",Presencial
2020,Música,"Ajuntament de Barcelona",Festivals,28,"BAM. Barcelona Acció Musical",24/9/2020,27/9/2020,6400,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona","Presencial i en línia "
2020,"Arts visuals","Titularitat privada",Festivals,15,"Barcelona Design Week City Festival",17/11/2020,26/11/2020,,,"Diversos espais de la ciutat i Online","BCD ¿ Barcelona Centre de Disseny + FAD ¿ Foment de les Arts i del Disseny","Presencial i en línia - Sense dades"
2020,"Arts visuals","Ajuntament de Barcelona",Festivals,10,"Barcelona Dibuixa",25/10/2020,25/10/2020,2592,,"Diversos espais de la ciutat i Online","Institut de Cultura. Ajuntament de Barcelona","A banda del públic presencial, van registrar-se 14.019 usuaris en línia"
2020,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,7,"Barcelona Districte Cultural",1/2/2020,30/9/2020,13371,,"21 centres cívics de la ciutat","Institut de Cultura. Ajuntament de Barcelona","Covid-19: la majoria dels bolos suspesos a partir de l'11 de març es van traslladar als mesos de juliol i setembre."
2020,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,1,"Barcelona Festival de Nadal",18/12/2020,30/12/2020,18000,,"Pl. de Catalunya","Ajuntament de Barcelona",
2020,Música,"Titularitat privada",Festivals,16,"Barcelona Festival of Song",7/7/2020,17/7/2020,60,,"Biblioteca de Catalunya i Online","Patricia Caicedo","A banda del públic presencial, van registrar-se 450 usuaris en línia"
2020,"Arts visuals","Titularitat privada",Festivals,6,"Barcelona Gallery Weekend",17/9/2020,31/12/2020,6000,500,"Diversos espais de la ciutat i Online","Art Barcelona Associació de Galeries","A banda del públic presencial, van registrar-se 48.181 usuaris en línia"
2020,Lletres,"Ajuntament de Barcelona",Festivals,8,"Barcelona Novel·la Històrica",9/11/2020,14/11/2020,,,Online,"Institut de Cultura. Ajuntament de Barcelona","Va celebrar-se únicament en format virtual amb 2.240 usuaris"
2020,"Multidisciplinaris i altres","Altres administracions públiques",Festivals,7,"Barcelona Pensa",18/11/2020,19/11/2020,,,Online,"Facultat de Filosofia de la Universitat de Barcelona","Va celebrar-se únicament en format virtual amb 900 usuaris"
2020,Lletres,"Ajuntament de Barcelona",Festivals,23,"Barcelona Poesia",13/10/2020,18/10/2020,1877,,"Diversos espais de la ciutat i Online","Institut de Cultura. Ajuntament de Barcelona","A banda del públic presencial, van registrar-se 256 usuaris en línia"
2020,Música,"Titularitat privada",Festivals,25,BarnaSants,24/1/2020,14/3/2020,,,"Diversos espais de la ciutat","ASSOCIACIÓ REPÚBLICA DE LA CULTURA",Presencial
2020,"Multidisciplinaris i altres","Titularitat privada",Festivals,9,"BAUM Festival",3/10/2020,4/10/2020,30,10,Online,"Urban line concept events","A banda del públic presencial, van registrar-se 7.000 usuaris en línia "
2020,Lletres,"Ajuntament de Barcelona",Festivals,15,"BCNegra. Trobada de Novel·la Negra de Barcelona",30/1/2020,9/2/2020,12097,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",Presencial
2020,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,2,"Biennal de pensament Ciutat Oberta ",13/10/2020,18/10/2020,5272,,"Diversos espais de la ciutat i Online","Institut de Cultura. Ajuntament de Barcelona","A banda del públic presencial, van registrar-se 5.254 usuaris en línia "
2020,"Multidisciplinaris i altres","Titularitat privada",Festivals,12,"Blanc Festival",23/10/2020,24/10/2020,,,Online,"Musseu del Disseny","En línia - Sense dades"
2020,Audiovisuals,"Consorci o fundació amb presència administracions públiques",Festivals,3,"Brain Film Fest",1/10/2020,3/10/2020,,,CCCB,"Fundació Pasqual Maragall, Fundació Uszheimer, Minimal Films, Albert Solé",Presencial
2020,Música,"Ajuntament de Barcelona",Festivals,5,"Caliu, cicle de música d'hivern",18/1/2020,21/3/2020,,,"Centre Cultural la Farinera del Clot","Centre cultural la Farinera del Clot",Presencial
2020,Audiovisuals,"Titularitat privada",Festivals,8,"Choreoscope Barcelona Dance Film Festival",14/9/2020,28/9/2020,246,237,"Online i Filmoteca de Catalunya","Assoc. Choreoscope","A banda del públic presencial, van registrar-se 41.754 usuaris en línia "
2020,Audiovisuals,Mixta,Festivals,9,"Cinema Alemany Actual",22/10/2020,31/12/2020,1410,,"Filmoteca de Catalunya","Goethe-Institut Barcelona","Presencial - Data de finalització 29/01/2021"
2020,Audiovisuals,"Titularitat privada",Festivals,4,"Cinema Lliure a la Biblioteca",5/10/2020,29/10/2020,,,"Biblioteques de Barcelona","Mago Audiovisual Production",Presencial
2020,Audiovisuals,"Titularitat privada",Festivals,9,"Cinema Lliure a la Platja. Mostra de cinema independent",30/7/2020,23/8/2020,,,"CEM La Mar Bella","Mago Audiovisual Production",Presencial
