Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2019,"Arts visuals","Titularitat privada",Festivals,3,"DART- Festival de Cinema Documental ",28/11/2019,1/12/2019,3000,,"Diversos espais de la ciutat","Assoc. Cultural Dart",
2019,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,8,"DAU Barcelona",23/11/2019,24/11/2019,30500,,"Fabra i Coats: Fàbrica de Creació","Institut de Cultura. Ajuntament de Barcelona",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,4,"De Flor en Flor",19/4/2019,22/4/2019,,,"Poble Espanyol",.,
2019,Música,"Titularitat privada",Festivals,4,"DescoNNecta. Mostra de Música Jove",1/9/2019,16/11/2019,290,,"Lluïsos de Gràcia","Lluïsos de Gràcia",
2019,Música,"Titularitat privada",Festivals,5,"DGTL Festival",23/8/2019,25/8/2019,25000,,"Parc del Fòrum","Grup Centris",
2019,Audiovisuals,"Titularitat privada",Festivals,22,DocsBarcelona,15/5/2019,25/5/2019,19415,862,"CCCB i Cinemes Aribau","Paral·lel 40",
2019,"Arts visuals","Titularitat privada",Festivals,23,"Drap-Art. Festival Internacional de Reciclatge Artístic de Catalunya",15/11/2019,31/12/2019,,,"Museu Marítim de Barcelona",Drap-Art,
2019,Música,"Titularitat privada",Festivals,22,"EH SONA! Festival de Música Basca a Barcelona",9/11/2019,31/12/2019,,,"Diversos espais de la ciutat","Centre Cultural Euskal Etxea Barcelona",
2019,Audiovisuals,"Titularitat privada",Festivals,7,"El dia més curt",21/12/2019,21/12/2019,,,"Diversos espais de la ciutat","Martin & Wayne",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"El Dia Minimúsica",19/5/2019,19/5/2019,3000,,"Poble Espanyol","Minimúsica ",
2019,Música,"Titularitat privada",Festivals,4,"El Festival",8/6/2019,8/6/2019,,,"Poble Espanyol","Poble Espanyol",
2019,Audiovisuals,"Titularitat privada",Festivals,12,"El Meu Primer Festival",9/11/2019,24/11/2019,12000,2690,"Diversos espais de la ciutat ","Assoc. Isla Elefante Projectes Culturals",
2019,Música,"Altres administracions públiques",Festivals,14,"Els vespres a la UB",2/7/2019,18/7/2019,4000,,"Jardins Edifici Històric UB","Universitat de Barcelona",
2019,Música,"Altres administracions públiques",Festivals,5,"Els vespres d'hivern",1/2/2019,22/2/2019,2000,,"Paranimf Edifici Històric UB","Universitat de Barcelona",
