Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2013,"Arts escèniques","Titularitat privada",Festivals,6,"12 hores de màgia al Brossa",22/9/2013,22/9/2013,285,,"La Seca Espai Brossa","La Seca Espai Brossa",
2013,"Arts visuals","Titularitat privada",Festivals,4,"48H Open House BCN",19/10/2013,20/10/2013,47859,,"Diversos espais de la ciutat","Assoc. 48H Open House BCN",
2013,Música,Mixta,Festivals,3,"9B in Black. Festival de Música Negra de Nou Barris",30/1/2013,2/2/2013,,,,"Casal de Barri Prosperitat, Casal de Joves Prosperitat i Ateneu Popular 9Barris",
2013,Música,"Titularitat privada",Festivals,1,"Aloud Music Festival",7/2/2013,9/2/2013,1600,,"Diversos espais de la ciutat","Assoc. AMF",
2013,Audiovisuals,"Titularitat privada",Festivals,24,ArtFutura,1/11/2013,3/11/2013,,,,ArtFutura,
2013,Lletres,"Titularitat privada",Fires,4,"Arts Libris. Fira internacional del llibre i edicions d'art, fotografia i disseny de Barcelona",20/4/2013,23/4/2013,10354,,"Arts Santa Mònica","Raíña Lupa Produccions",
2013,Música,"Titularitat privada",Festivals,1,Bachcelona,25/7/2013,28/7/2013,5000,,"Diversos espais de la ciutat","Fundació BZM",
2013,Música,"Ajuntament de Barcelona",Festivals,21,"BAM. Barcelona Acció Musical",20/9/2013,23/9/2013,111290,,"Diferents espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2013,Audiovisuals,"Titularitat privada",Festivals,6,"BANG. Festival de Videoart de Barcelona",1/11/2013,31/12/2013,60,,"Diferents espais de la ciutat","Ob-Art Video",
2013,"Arts escèniques","Titularitat privada",Festivals,3,"Barcelona Burlesque Festival",22/5/2013,26/5/2013,1400,,"El Molino","Ociopuro, SL",
2013,"Arts visuals","Titularitat privada",Festivals,8,"Barcelona Design Week City Festival",11/6/2013,11/7/2013,16300,,"Disseny Hub Barcelona","Barcelona Centre del Disseny",
2013,Música,"Titularitat privada",Festivals,9,"Barcelona Festival of Song",26/6/2013,7/7/2013,2000,,"Diversos espais de la ciutat","Patricia Caicedo",
2013,Lletres,"Ajuntament de Barcelona",Festivals,1,"Barcelona Novel·la Històrica",11/11/2013,16/11/2013,1722,,,"Institut de Cultura. Ajuntament de Barcelona",
2013,Lletres,"Ajuntament de Barcelona",Festivals,16,"Barcelona Poesia",8/5/2013,14/5/2013,6453,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2013,"Multidisciplinaris i altres","Titularitat privada",Festivals,1,"Barcelona Surf Festival ",26/6/2013,28/6/2013,1000,,"Museu Marítim","AGÈNCIA DIVE",
2013,Música,"Titularitat privada",Festivals,3,"Barcelona, Gardel, Buenos Aires",25/7/2013,29/7/2013,,,"Plaça Reial i Castell de Montjuïc","ZOOM IN SA - Rafael Veljanovich",
