Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2017,Música,"Titularitat privada",Festivals,1,"Festival Inauditus",25/10/2017,16/12/2017,,,,.,
2017,Audiovisuals,"Titularitat privada",Festivals,5,"Festival Inclús",28/11/2017,3/12/2017,2286,,"CaixaForum Barcelona","Assoc. Inclús",
2017,Música,"Titularitat privada",Festivals,52,"Festival Internacional de Cant Coral a Barcelona",22/7/2017,29/7/2017,2000,,"Diversos espais de la ciutat","Federació Catalana d'Entitats Corals",
2017,Audiovisuals,"Titularitat privada",Festivals,1,"Festival Internacional de Cine de Barcelona - Sant Jordi",21/4/2017,28/4/2017,,,"Cinemes Verdi","ESPECTARAMA S.A.",
2017,Audiovisuals,"Titularitat privada",Festivals,7,"Festival Internacional de cine Nunes",12/12/2017,16/12/2017,,,,A.I.P.D.A.,
2017,Audiovisuals,"Titularitat privada",Festivals,17,"Festival Internacional de Cinema Gai i Lèsbic de Barcelona",19/10/2017,29/10/2017,,,,"Assoc. Cultural FICGLB",
2017,"Arts escèniques","Titularitat privada",Festivals,13,"Festival Internacional de Putxinel·lis d'Hivern",1/12/2017,30/12/2017,1404,,"La Puntual","Teatre La Puntual SL",
2017,Música,"Titularitat privada",Festivals,5,"Festival Jardins de Pedralbes",5/6/2017,14/7/2017,,,,"Concert Studio",
2017,Música,"Titularitat privada",Festivals,27,"Festival l'Hora del Jazz. Memorial Tete Montoliu",3/9/2017,27/9/2017,6175,,"Plaça de la Vila de Gràcia i Jamboree","Assoc. de Músics de Jazz i Música Moderna de Catalunya",
2017,Música,"Titularitat privada",Festivals,22,"Festival LEM",16/3/2017,1/12/2017,2280,,"Diversos espais de la ciutat","Gràcia Territori Sonor",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"Festival Mixtur",30/3/2017,9/4/2017,1766,,"Diversos espais de la ciutat","Assoc. Col·lectiu Mixtur",
2017,"Arts escèniques","Titularitat privada",Festivals,8,"Festival Mutis. Festival de Teatre Independent de Barcelona",15/3/2017,19/3/2017,,,,"La Coquera Teatro",
2017,"Arts escèniques","Titularitat privada",Festivals,1,"Festival Oui! de Théâtre en français",1/1/2017,12/1/2017,,,"Diversos espais de la ciutat","Mise en Lumière",
2017,"Arts escèniques","Titularitat privada",Festivals,5,"Festival Rei de la Màgia",29/12/2017,31/12/2017,525,,"Teatre Museu Rei de la Màgia","El rei de la màgia",
2017,"Arts escèniques","Titularitat privada",Festivals,1,"Festival Sant Martí de Circ",7/7/2017,9/7/2017,2500,,"Carrer Alfons el Magnànim","Assoc. de Professionals del Circ de Catalunya",
2017,Música,"Titularitat privada",Festivals,5,"Festival Talent",27/6/2017,30/6/2017,1680,,"Sala Apolo i Taller de Músics 24","Taller de Músics",
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,1,"Festival Tangent",8/6/2017,27/7/2017,,,"Diversos centres cívics de l'Eixample","Ajuntament de Barcelona",
2017,"Arts visuals","Titularitat privada",Fires,3,"Fira d'Art Modern i Antic de Barcelona",1/3/2017,5/3/2017,,,"Reials Drassanes de Barcelona",.,
2017,Lletres,"Titularitat privada",Fires,66,"Fira del Llibre d'Ocasió Antic i Modern",16/9/2017,2/10/2017,,,"Passeig de Gràcia de Barcelona","Gremi de Llibreters de Vell de Catalunya",
2017,Lletres,"Titularitat privada",Festivals,7,"Flic. Festival de literatures i arts infantil i juvenil",1/1/2017,5/2/2017,8457,,"Diversos espais de la ciutat","Assoc. Tantàgora Serveis Culturals",
2017,Audiovisuals,"Titularitat privada",Festivals,,"Flux. Festival de Vídeo d'Autor",17/12/2017,31/12/2017,,,,"Habitual Video Team",
2017,Audiovisuals,"Consorci o fundació amb presència administracions públiques",Festivals,15,Gandules,8/8/2017,8/8/2017,3941,,CCCB,CCCB,
2017,Lletres,"Titularitat privada",Festivals,5,"GRAF. Còmic d'autor i edició independent",3/3/2017,5/3/2017,3000,,"Fàbrica de Creació de la Fabra i Coats, Centre d'Art de la Fabra i Coats",GRAF,
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,41,"Grec Festival de Barcelona",1/7/2017,31/7/2017,113541,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,Música,"Titularitat privada",Festivals,28,"Guitar Bcn",23/1/2017,6/7/2017,52601,,"Diversos espais de la ciutat","The Project Music Company",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,5,"HOP Festival. Festival de Danses Urbanes",9/12/2017,17/12/2017,,,"Mercat de les Flors i Institut del Teatre","Assoc. El Generador art i creació cultural",
2017,Audiovisuals,"Titularitat privada",Festivals,10,"IndiFest Festival de Cinema Indígena de Barcelona",12/10/2017,15/10/2017,,,"Cinemes Girona","Alternativa Intercanvi amb Pobles Indígenes",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,4,"INFLUX Festival. Vídeo a Escena",9/11/2017,12/11/2017,,,,"Habitual Video Team",
2017,Música,"Titularitat privada",Festivals,4,"Jazzing Festival",26/9/2017,1/10/2017,,,"Diversos espais de la ciutat","Assoc. Sant Andreu Jazz Band i Dte. de Sant Andreu",
2017,Lletres,"Consorci o fundació amb presència administracions públiques",Festivals,,Kosmòpolis,22/3/2017,26/3/2017,10092,,CCCB,CCCB,
2017,Audiovisuals,"Titularitat privada",Festivals,24,"L'Alternativa. Festival de Cinema Independent de Barcelona",13/11/2017,19/11/2017,15500,,"Diversos espais (CCCB, Filmoteca i Institut Francès de Barcelona). ","La Fàbrica de Cinema Alternatiu de Barcelona",
2017,Música,"Titularitat privada",Festivals,7,"La Pedrera Jazz",9/6/2017,9/9/2017,7005,,"La Pedrera","Fundació Catalunya - La Pedrera",
2017,Música,"Titularitat privada",Festivals,4,"Lapsus Festival",1/4/2017,1/4/2017,789,,"Diversos espais de la ciutat (CCCB i LAUT)","Lapsus Arts, SL",
