Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2018,Música,"Titularitat privada",Festivals,3,"El Festival",8/6/2018,9/6/2018,,,"Poble Espanyol","Poble Espanyol",
2018,Audiovisuals,"Titularitat privada",Festivals,11,"El Meu Primer Festival",10/11/2018,25/11/2018,11225,,"Diversos espais de la ciutat","Assoc. Isla Elefante Projectes Culturals",
2018,Música,"Altres administracions públiques",Festivals,13,"Els vespres a la UB",3/7/2018,19/7/2018,3200,,"Jardins Edifici Històric UB","Universitat de Barcelona",
2018,Música,"Altres administracions públiques",Festivals,3,"Els vespres d'hivern",2/3/2018,23/3/2018,1700,,"Paranimf Edifici Històric UB","Universitat de Barcelona",
2018,Música,"Consorci o fundació amb presència administracions públiques",Festivals,10,Emergència!,10/2/2018,10/2/2018,900,,CCCB,CCCB,
2018,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,8,Endorfines,28/6/2018,19/7/2018,350,,"Centre cultural la Farinera del Clot","Centre Cultural La Farinera del Clot + Punt d¿Informació i Atenció a les Dones de Sant Martí",
2018,"Arts visuals","Ajuntament de Barcelona",Festivals,9,Enfocats,3/5/2018,28/5/2018,,,"Centre Cívic Pati Llimona","Centre Cívic Pati Llimona",
2018,"Arts escèniques","Titularitat privada",Festivals,17,"Escena Poblenou",17/10/2018,21/10/2018,4200,,"Diveros espais de la ciutat","Assoc. Festival de Creació Contemporània Poblenou",
2018,"Arts escèniques","Titularitat privada",Festivals,2,"Escenes de Filosofia i Teatre",8/11/2018,10/11/2018,535,,"Biblioteca de Catalunya i Reial Acadèmia de Medicina","La Maleta de Portbou i La Perla29",
2018,"Arts visuals","Titularitat privada",Festivals,5,"European Creativity Festival",8/11/2018,10/11/2018,350,,"Disseny Hub Barcelona i Utopia 126","Arts Directors Club of Europe (ADCE)",
2018,"Arts visuals","Titularitat privada",Festivals,25,"Fem Art",14/12/2018,31/12/2018,500,,"Ca La Dona","Col·lectiu FemArt",
2018,Lletres,"Titularitat privada",Festivals,4,"Festival Alcools",6/3/2018,15/5/2018,,,"Sala Beckett","Sala Becket i Obrador Internacional de Dramatúrgia i la Institució de les Lletres Catalanes",
2018,Audiovisuals,"Titularitat privada",Festivals,9,"Festival Antic Horror Picture Show",19/10/2018,19/10/2018,150,,"Antic Teatre","Antic Teatre i Guillem Puig",
2018,Música,"Titularitat privada",Festivals,4,"Festival Cara - B",16/2/2018,17/2/2018,,,"Fàbrica Fabra i Coats","Assoc. Isla Elefante Projectes Culturals",
2018,Música,"Titularitat privada",Festivals,9,"Festival Cruïlla",12/7/2018,14/7/2018,57000,,"Parc del Fòrum","Barcelona Events Musicals SL",
2018,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,13,"Festival d'estiu LLIMONADES",28/6/2018,20/7/2018,,,"Diversos espais de la ciutat","Centre Cívic Pati Llimona",
2018,"Arts escèniques","Ajuntament de Barcelona",Festivals,14,"Festival Dansat",20/10/2018,28/10/2018,909,,"SAT! Sant Andreu Teatre","saT! Sant Andreu Teatre",
2018,Música,"Titularitat privada",Festivals,16,"Festival de Blues de Barcelona",5/7/2018,15/7/2018,2800,,"Diversos espais de la ciutat","Assoc. Capibola Blues",
2018,Audiovisuals,"Titularitat privada",Festivals,9,"Festival de Cinema en Creative Commons de Barcelona. BccN",5/6/2018,10/6/2018,1450,,"Diversos espais de la ciutat","Assoc. Panorama 180",
2018,Audiovisuals,"Titularitat privada",Festivals,15,"Festival de Cinema i Drets Humans de Barcelona",15/11/2018,23/11/2018,,,"Cines Texas i Maldà","Drets en acció",
2018,Audiovisuals,"Titularitat privada",Festivals,20,"Festival de Cinema Jueu de Barcelona",15/9/2018,30/9/2018,2000,,"Diversos espais de la ciutat","Assoc. Festival de Cinema Jueu a Barcelona",
2018,"Multidisciplinaris i altres","Titularitat privada",Festivals,16,"Festival de Cultura Raval(s)",8/11/2018,11/11/2018,3800,,"Diversos espais de la ciutat","Fundació Tot Raval",
2018,Música,"Titularitat privada",Festivals,2,"Festival de Fado",29/9/2018,30/9/2018,1100,,"Sala Barts i Museu Marítim de Barcelona",.,
2018,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,12,"Festival de la Ciència",9/6/2018,10/6/2018,20000,,"Parc de la Ciutadella","Institut de Cultura. Ajuntament de Barcelona",
2018,Música,"Ajuntament de Barcelona",Festivals,23,"Festival de Música als Parcs",2/6/2018,30/8/2018,14100,,"Diversos espais de la ciutat","Ajuntament de Barcelona",
2018,"Arts escèniques","Titularitat privada",Festivals,14,"Festival de Teatre del Casc Antic",28/9/2018,14/10/2018,454,,"RAI. Teatre de la Bona Sort","Recursos d'Animació Intercultural, RAI",
2018,"Arts escèniques","Titularitat privada",Festivals,9,"Festival de Titelles de Barcelona",12/3/2018,18/3/2018,4800,,"El Poble Espanyol","PEMSA SAU",
2018,Lletres,"Titularitat privada",Festivals,11,"Festival del Llibre d'Artista i la Petita Edició",20/4/2018,28/4/2018,950,,"Pati Llimona i Plaça Sant Just",ILDE,
2018,Música,"Titularitat privada",Festivals,19,"Festival del Mil·lenni",1/1/2018,12/5/2018,,,"Diveros espais de la ciutat","Concert Studio",
2018,Música,"Titularitat privada",Festivals,20,"Festival del Mil·lenni",4/10/2018,31/12/2018,,,"Diversos espais de la ciutat","Concert Studio",
2018,"Arts escèniques","Titularitat privada",Festivals,14,"Festival elPetit",10/11/2018,25/11/2018,2600,,"Diversos espais de la ciutat",Imaginart,
2018,Música,"Consorci o fundació amb presència administracions públiques",Festivals,2,"Festival Emergents Barcelona",3/4/2018,11/4/2018,5504,,L'Auditori,"Consorci de L'Auditori i l'Orquestra",
2018,Música,"Titularitat privada",Festivals,31,"Festival Folk Internacional Tradicionàrius",12/1/2018,23/3/2018,8025,,"Centre Artesà Tradicionàrius","Assoc. Cultural TRAM",
